matching_num,matching_date,all_users,participants,mean_score,max_score,min_score,tag_weights
5,2025-03-14,15,14,3.3708333333333336,6.266666666666667,1.0,"{'Психология': 5.0, 'Боевые искусства': 1.25, 'DevOps/SRE': 1.6666666666666667, 'ЗОЖ': 2.5, 'Инженерия': 2.5, 'Прогулки с собаками': 1.25, 'Медитация': 5.0, 'Скейтбординг': 5.0, 'Медицина и здоровье': 1.6666666666666667, 'HR': 2.5, 'Рисование': 5.0, 'Видеоигры': 1.0, 'Программирование': 5.0, 'Плавание': 5.0, 'Любитель кошек': 5.0, 'Backend': 5.0, 'Бег': 5.0, 'Сериалы': 2.5, 'Вязание': 5.0, 'ML': 1.6666666666666667, 'Фитнес и тренировки': 1.6666666666666667, 'Дизайн/UX': 5.0, 'Теннис': 5.0, 'Музыка': 2.5, 'Путешествия': 5.0, 'Хобби и увлечения': 5.0, 'Новости компании': 5.0, 'Сёрфинг': 5.0, 'Аналитика': 2.5, 'Баскетбол': 5.0, 'Продукты и проекты': 5.0, 'Mobile': 5.0, 'Фотография': 2.5, 'Дизайн': 5.0}"
4,2025-03-10,12,12,3.3777777777777778,5.0,0.9,"{'Психология': 5.0, 'Боевые искусства': 1.6666666666666667, 'DevOps/SRE': 1.6666666666666667, 'ЗОЖ': 2.5, 'Инженерия': 2.5, 'Прогулки с собаками': 1.6666666666666667, 'Медитация': 5.0, 'Скейтбординг': 5.0, 'Медицина и здоровье': 2.5, 'HR': 2.5, 'Рисование': 5.0, 'Видеоигры': 1.0, 'Программирование': 5.0, 'Плавание': 5.0, 'Любитель кошек': 5.0, 'Backend': 5.0, 'Бег': 5.0, 'Сериалы': 2.5, 'Вязание': 5.0, 'ML': 1.6666666666666667, 'Фитнес и тренировки': 2.5, 'Дизайн/UX': 5.0, 'Теннис': 5.0, 'Музыка': 2.5, 'Путешествия': 5.0, 'Хобби и увлечения': 5.0, 'Новости компании': 5.0, 'Сёрфинг': 5.0, 'Аналитика': 5.0, 'Баскетбол': 5.0}"
3,2025-03-07,12,12,2.8444444444444437,5.8,0.9,"{'Психология': 5.0, 'Боевые искусства': 1.6666666666666667, 'DevOps/SRE': 1.6666666666666667, 'ЗОЖ': 2.5, 'Инженерия': 2.5, 'Прогулки с собаками': 1.6666666666666667, 'Медитация': 5.0, 'Скейтбординг': 5.0, 'Медицина и здоровье': 2.5, 'HR': 2.5, 'Рисование': 5.0, 'Видеоигры': 1.0, 'Программирование': 5.0, 'Плавание': 5.0, 'Любитель кошек': 5.0, 'Backend': 5.0, 'Бег': 5.0, 'Сериалы': 2.5, 'Вязание': 5.0, 'ML': 1.6666666666666667, 'Фитнес и тренировки': 2.5, 'Дизайн/UX': 5.0, 'Теннис': 5.0, 'Музыка': 2.5, 'Путешествия': 5.0, 'Хобби и увлечения': 5.0, 'Новости компании': 5.0, 'Сёрфинг': 5.0, 'Аналитика': 5.0, 'Баскетбол': 5.0}"
2,2025-03-03,12,10,5.566666666666666,10.733333333333334,2.3666666666666667,"{'Психология': 5.0, 'Боевые искусства': 1.6666666666666667, 'DevOps/SRE': 1.6666666666666667, 'ЗОЖ': 2.5, 'Инженерия': 2.5, 'Прогулки с собаками': 1.6666666666666667, 'Медитация': 5.0, 'Скейтбординг': 5.0, 'Медицина и здоровье': 2.5, 'HR': 2.5, 'Рисование': 5.0, 'Видеоигры': 1.0, 'Программирование': 5.0, 'Плавание': 5.0, 'Любитель кошек': 5.0, 'Backend': 5.0, 'Бег': 5.0, 'Сериалы': 2.5, 'Вязание': 5.0, 'ML': 1.6666666666666667, 'Фитнес и тренировки': 2.5, 'Дизайн/UX': 5.0, 'Теннис': 5.0, 'Музыка': 2.5, 'Путешествия': 5.0, 'Хобби и увлечения': 5.0, 'Новости компании': 5.0, 'Сёрфинг': 5.0, 'Аналитика': 5.0, 'Баскетбол': 5.0}"
1,2025-03-01,5,4,3.35,5.8,0.9,"{'Психология': 2.0, 'Боевые искусства': 1.0, 'DevOps/SRE': 1.0, 'ЗОЖ': 1.0, 'Инженерия': 1.0, 'Прогулки с собаками': 2.0, 'Медицина и здоровье': 2.0, 'Программирование': 2.0, 'Плавание': 2.0, 'Видеоигры': 2.0, 'Любитель кошек': 2.0, 'Backend': 2.0}"
