matching_num,matching_date,all_users,participants,mean_score,max_score,min_score,tag_weights
1,2025-03-19,15,5,6.95,7.9,6.0,"{'Психология': 2.0, 'Боевые искусства': 1.0, 'DevOps/SRE': 1.0, 'ЗОЖ': 1.0, 'Инженерия': 1.0, 'Прогулки с собаками': 1.0, 'Образование и педагогика': 2.0, 'Медицина и здоровье': 2.0, 'Программирование': 2.0, 'Плавание': 2.0, 'Теннис': 2.0, 'Бег': 2.0, 'Йога': 2.0, 'Садоводство': 2.0, 'Видеоигры': 2.0, 'Любитель кошек': 2.0, 'Backend': 2.0, 'Mobile': 2.0, 'ML': 1.0, 'QA': 2.0, 'Медитация': 2.0, 'Ментальное здоровье': 2.0, 'Фитнес и тренировки': 1.0}"
1,2025-03-20,15,5,6.95,7.9,6.0,"{'Психология': 2.0, 'Боевые искусства': 1.0, 'DevOps/SRE': 1.0, 'ЗОЖ': 1.0, 'Инженерия': 1.0, 'Прогулки с собаками': 1.0, 'Образование и педагогика': 2.0, 'Медицина и здоровье': 2.0, 'Программирование': 2.0, 'Плавание': 2.0, 'Теннис': 2.0, 'Бег': 2.0, 'Йога': 2.0, 'Садоводство': 2.0, 'Видеоигры': 2.0, 'Любитель кошек': 2.0, 'Backend': 2.0, 'Mobile': 2.0, 'ML': 1.0, 'QA': 2.0, 'Медитация': 2.0, 'Ментальное здоровье': 2.0, 'Фитнес и тренировки': 1.0}"
1,2025-03-21,15,5,6.95,7.9,6.0,"{'Психология': 2.0, 'Боевые искусства': 1.0, 'DevOps/SRE': 1.0, 'ЗОЖ': 1.0, 'Инженерия': 1.0, 'Прогулки с собаками': 1.0, 'Образование и педагогика': 2.0, 'Медицина и здоровье': 2.0, 'Программирование': 2.0, 'Плавание': 2.0, 'Теннис': 2.0, 'Бег': 2.0, 'Йога': 2.0, 'Садоводство': 2.0, 'Видеоигры': 2.0, 'Любитель кошек': 2.0, 'Backend': 2.0, 'Mobile': 2.0, 'ML': 1.0, 'QA': 2.0, 'Медитация': 2.0, 'Ментальное здоровье': 2.0, 'Фитнес и тренировки': 1.0}"
